AccountNumber,Name,NumberOfEmployees,NumberofLocations__c,Phone,SLA__c,SLASerialNumber__c,Account_Number_External_ID__c
1,Giorgio,95,43,767-695-2388,Gold,111920516,978151df-ec7b-4e3b-8109-02a139ddb7f0
2,Germayne,38,26,569-827-8112,Gold,122105744,03441cbe-21aa-442b-9fdf-315f6a102159
3,Cathee,40,78,821-934-1695,Platinum,031300575,71f94f0d-0d28-49ad-bff5-28ee106f798f
4,Xavier,92,20,833-280-1399,Bronze,071922340,eb360d1d-cc9f-491f-baa1-1677f4cd165d
5,Ray,32,48,829-486-1183,Silver,086518765,3bf7b6a2-111e-42ff-b3c0-4d77dd6a2a29
6,Gallard,1,86,671-589-1682,Gold,101205681,d3eacd9a-7135-412a-a8a1-006029c0acaf
7,Mattias,24,32,242-157-8816,Platinum,101902298,bc042ccf-43ed-4845-a47b-e981ff2521ea
8,Malinda,6,5,156-747-9499,Silver,011100012,34184c18-36c9-4fb4-9f67-c3dae9adaed0
9,Boigie,19,100,136-168-9704,Bronze,323271493,0c6a7f82-26a0-4be3-a51a-b0e6587304a3
10,Bret,96,3,394-928-2789,Platinum,083902196,53c773bc-f732-4107-97de-beb4193391fe
11,Margy,88,62,710-606-5773,Gold,122105566,4d73323d-05f4-4d50-a858-c3bacb7a5765
12,Hedda,34,75,762-839-8408,Bronze,111915770,89506e03-6af3-4d18-9449-8f4b0d180fbd
13,Margette,23,61,705-849-9069,Gold,123305378,62c21161-5a68-4815-a2c8-8838f9a95308
14,Danya,8,51,525-351-1386,Silver,082901774,f1aeaaab-397d-4534-8633-6d195cb63f4d
15,Alma,84,3,845-855-5886,Bronze,102301050,a950285e-9ad0-4195-9d2b-65385643b991
16,Bale,43,90,811-412-6548,Gold,104910342,b154f7fb-15f1-4d4a-9721-a5ad634ebe62
17,Ninnette,35,63,441-186-2320,Bronze,064107729,dc8cd8cb-4020-40db-af36-2dd858f423f0
18,Gabi,79,54,800-210-7107,Silver,122101191,015618d3-a885-4e39-bca9-5ab182175203
19,Robin,77,21,564-508-0554,Platinum,063114894,c71e0594-e201-4b89-8947-9df8650f2270
20,Beckie,6,36,805-800-4259,Platinum,091311135,2780df20-1a0f-459d-af1c-d043691fa9d8
21,Keven,81,24,628-472-1421,Silver,071903136,21c188a8-30f8-45b7-a117-9d3173997090
22,Stanton,91,15,525-640-8806,Silver,057000668,9cb5f999-325d-4d18-b49c-71166e835538
23,Pru,60,13,328-475-1800,Bronze,102103562,7bf8df0b-7c18-4421-8993-0da522a2c46e
24,Michale,16,14,812-861-8787,Platinum,113024177,f4f0e882-cf81-4853-99df-aaa3ba6d8b82
25,Ingmar,41,71,182-845-4423,Gold,021213397,8cb108ce-b4ee-45cf-b21c-b14a898f23a6
26,Winslow,49,19,503-639-3245,Bronze,031305253,b64b1933-f10f-4aa8-a42f-d7b1c681dae3
27,Briant,37,68,278-406-7212,Silver,267083763,c132e419-c08c-4541-9b45-778ea479f98c
28,Araldo,8,14,755-606-2434,Bronze,313072819,6bb9232e-7450-4547-91d6-cd2ccfd09cad
29,Alfredo,72,34,301-938-6216,Bronze,101904911,b7987003-c8d9-4b82-8261-5d3adbf5f7d9
30,Conroy,56,45,835-271-6981,Bronze,026004828,45c57d75-1a13-41b3-aac4-4a93069ba999
31,Gayle,95,47,482-793-9400,Platinum,111308057,bd96b33e-d480-4ae1-98bd-947e86452a2c
32,Eddi,82,5,620-593-8756,Bronze,061019506,d331230e-1ba1-4dfb-94da-89b3d0cec126
33,Meggy,83,19,314-897-3881,Silver,072413719,b9eebed0-0c33-4f0c-a7af-032fb862ef78
34,Annissa,38,93,434-529-3745,Silver,065404418,c4fa82e0-1413-4efd-abcc-6d37607404b5
35,Darcy,96,3,534-564-9715,Bronze,082001881,2da33ae6-1f2b-4077-84b8-5e4523bda452
36,Atalanta,70,79,661-149-2905,Gold,071923284,e823ef9a-c591-4d7c-831f-59489a4bfbbb
